"CODE","es"
"FOREST-BRUSH-MODDESCRIPTION","Te permite crear, guardar y editar 'pinceles' con arboles mixtos."
"FOREST-BRUSH-MODNAME","Forest Brush"
"FOREST-BRUSH-BRUSH","Pincel"
"FOREST-BRUSH-SELECT","Selecciona pincel"
"FOREST-BRUSH-CREATE","Crea nuevo pincel"
"FOREST-BRUSH-DELETE","Borra pincel"
"FOREST-BRUSH-SEARCH","Busca"
"FOREST-BRUSH-PROBABILITY","Probabilidad"
"FOREST-BRUSH-TOGGLE-EDIT","Muestra/Esconde el panel 'Árboles'"
"FOREST-BRUSH-TOGGLE-OPTIONS","Muestra/Esconde el panel 'Opciones de Pincel'"
"FOREST-BRUSH-TOGGLE-SELECTBRUSHSHAPE","Muestra/Esconde el panel 'Formas del Pincel'"
"FOREST-BRUSH-BRUSH-OPTIONS-STRENGTH","Fuerza"
"FOREST-BRUSH-BRUSH-OPTIONS-DENSITY","Densidad"
"FOREST-BRUSH-BRUSH-OPTIONS-SIZE","Tamaño"
"FOREST-BRUSH-BRUSH-OPTIONS-AUTODENSITY","Auto-densidad"
"FOREST-BRUSH-BRUSH-OPTIONS-RESET","Reinicia"
"FOREST-BRUSH-OPTIONS-RESET","Reinicia las opciones predeterminadas"
"FOREST-BRUSH-OPTIONS-SHOWMESHDATA","Mostrar informacion sobre malla y textura"
"FOREST-BRUSH-DATA-NAME","Nombre"
"FOREST-BRUSH-DATA-AUTHOR","Autor"
"FOREST-BRUSH-DATA-MESH","Malla"
"FOREST-BRUSH-DATA-MESHNOTREADABLE","Ilegible"
"FOREST-BRUSH-DATA-TRIANGLES","Triangulos"
"FOREST-BRUSH-DATA-TEXTURE","Textura"
"FOREST-BRUSH-DATA-PIXELS","px"
"FOREST-BRUSH-OPTIONS-SORTING","Ordenar lista de árboles por"
"FOREST-BRUSH-OPTIONS-SORTING-ORDER","Orden de la lista"
"FOREST-BRUSH-OPTIONS-SORTING-ASCENDING","Ascendente"
"FOREST-BRUSH-OPTIONS-SORTING-DESCENDING","Descendiente"
"FOREST-BRUSH-OPTIONS-FILTERING-LOGIC","Lógica de búsqueda"
"FOREST-BRUSH-OPTIONS-FILTERING-AND","AND (Contiene ambos términos)"
"FOREST-BRUSH-OPTIONS-FILTERING-OR","OR (Contiene cualquier término)"
"FOREST-BRUSH-OPTIONS-FILTERING-SIMPLE","Simple (Busca rapida solo de los nombres)"
"FOREST-BRUSH-OPTIONS-NEWBRUSH","Al crear un nuevo pincel"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-CLEAR","Remueve los árboles del pincel anterior"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-KEEP","Mantén los árboles del pincel anterior"
"FOREST-BRUSH-OPTIONS-IGNORE-VANILLA","Oculta los árboles 'vanilla'"
"FOREST-BRUSH-OPTIONS-SINGLETREE-EFFECT","Reproduce los efectos audiovisuales al colocar árboles individualmente "
"FOREST-BRUSH-OPTIONS-CHARGE-MONEY","Cobrar dinero para sembrar árboles"
"FOREST-BRUSH-MODAL-WARNING","Advertencia"
"FOREST-BRUSH-MODAL-LIMITREACHED-TITLE","Limite de árboles alcanzado"
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ONE","Haz alcanzado el limite de 100 arboles por pincel. Porfavor remueve algunos árboles para agregar más."
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ALL","Haz alcanzado el limite de 100 arboles por pincel. Algunos árboles no fueron agregados. Porfavor remueve algunos árboles para agregar más."
"FOREST-BRUSH-PROMPT-NEW","Nombre del pincel"
"FOREST-BRUSH-RENAME-BRUSH","Usa este campo para renombrar el pincel"
"FOREST-BRUSH-PROMPT-DELETE","Deseas realmente eliminar este pincel?"
"FOREST-BRUSH-RENAME-ERROR","Otro pincel existe con el mismo nombre"
"FOREST-BRUSH-PROMPT-YES","Si"
"FOREST-BRUSH-PROMPT-NO","No"
"FOREST-BRUSH-PROMPT-OK","OK"
"FOREST-BRUSH-PROMPT-CANCEL","Regresar"
"FOREST-BRUSH-KEYBIND-TOGGLE-TOOL","Muestra/Esconde el panel de 'Forest Brush'"
"FOREST-BRUSH-TOOLERROR-BRUSHEMPTY","No hay árboles en el picel"
"FOREST-BRUSH-TUTORIAL","Thanks for subscribing to Forest Brush Revisted.\r\n\r\nClick on the 'Trees' button to select the trees for your brush.\r\nUse the checkboxes to add/remove trees to the brush.\r\nCTRL + click on a checkbox to select/deselect all trees.\r\n\r\nYou can have as many different brushes as you like, just add more with the 'plus' button.\r\n\r\nUse the searchbox to find specific trees.\r\nClick on the 'Gear' button to edit your brush settings.\r\nHere you can change the size, strength and density of your brush.\r\nVisit the mod's workshop page for detailed instructions."
"NAME","Español"
"GROUP_LOCALISATION","Localisation"
"dropdownLocalization","Language"
"tabGeneral","General"
"tabSorting","Sorting / Searching"
"tabMaintenance","Maintenance"
"groupMainPanel","Main Panel"
"groupBehaviour","Behaviour"
"groupSorting","Sorting"
"groupSearching","Searching"
"groupMaintenance","Maintenance"
"buttonResetPanelPosition","Reset Panel Position"
