"CODE","fr"
"FOREST-BRUSH-MODDESCRIPTION","Il vous permet de créer, éditer et d'enregistrer des arbes mélangés à l'aide d'un pinceau."
"FOREST-BRUSH-MODNAME","Pinceau de Forêt"
"FOREST-BRUSH-BRUSH","Pinceau"
"FOREST-BRUSH-SELECT","Sélectionnez le pinceau"
"FOREST-BRUSH-CREATE","Créer un nouveau pinceau"
"FOREST-BRUSH-DELETE","Supprimer le pinceau actuel"
"FOREST-BRUSH-SEARCH","Rechercher"
"FOREST-BRUSH-PROBABILITY","Probabilité"
"FOREST-BRUSH-TOGGLE-EDIT","Basculer vers le panneau 'Arbres'"
"FOREST-BRUSH-TOGGLE-OPTIONS","Basculer vers le panneau 'Option de pinceau'"
"FOREST-BRUSH-TOGGLE-SELECTBRUSHSHAPE","Basculer ver le panneau 'Formes de pinceau'"
"FOREST-BRUSH-BRUSH-OPTIONS-STRENGTH","Force de dureté"
"FOREST-BRUSH-BRUSH-OPTIONS-DENSITY","Densité"
"FOREST-BRUSH-BRUSH-OPTIONS-SIZE","Taille"
"FOREST-BRUSH-BRUSH-OPTIONS-AUTODENSITY","Densité automatique"
"FOREST-BRUSH-BRUSH-OPTIONS-RESET","Réinitialiser"
"FOREST-BRUSH-OPTIONS-RESET","Réinitialiser toutes les options aux valeurs par défaut"
"FOREST-BRUSH-OPTIONS-SHOWMESHDATA","Afficher les données chaînées et de texture de l'arborescence dans l'info-bulle"
"FOREST-BRUSH-DATA-NAME","Nom"
"FOREST-BRUSH-DATA-AUTHOR","Auteur"
"FOREST-BRUSH-DATA-MESH","Chaînage"
"FOREST-BRUSH-DATA-MESHNOTREADABLE","Illisible"
"FOREST-BRUSH-DATA-TRIANGLES","Triangles"
"FOREST-BRUSH-DATA-TEXTURE","Texture"
"FOREST-BRUSH-DATA-PIXELS","px"
"FOREST-BRUSH-OPTIONS-SORTING","Trier les arbres par"
"FOREST-BRUSH-OPTIONS-SORTING-ORDER","Ordre de tri"
"FOREST-BRUSH-OPTIONS-SORTING-ASCENDING","Ascendant"
"FOREST-BRUSH-OPTIONS-SORTING-DESCENDING","Descendant"
"FOREST-BRUSH-OPTIONS-FILTERING-LOGIC","Recherche logique"
"FOREST-BRUSH-OPTIONS-FILTERING-AND","ET (Match les deux mots)"
"FOREST-BRUSH-OPTIONS-FILTERING-OR","OU (Correspond à l'un ou l'autre mot)"
"FOREST-BRUSH-OPTIONS-FILTERING-SIMPLE","Simple (Recherche rapide 'Nom de l'arbre uniquement')"
"FOREST-BRUSH-OPTIONS-NEWBRUSH","Lors de la création d'un nouveau pinceau"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-CLEAR","Commencez avec un pinceau vide"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-KEEP","Gardez les arbres du dernier pinceau sélectionné"
"FOREST-BRUSH-OPTIONS-IGNORE-VANILLA","Cacher les arbres du jeu Vanilla"
"FOREST-BRUSH-OPTIONS-SINGLETREE-EFFECT","Effets visuels et sonores en plaçant les arbres individuellement"
"FOREST-BRUSH-OPTIONS-CHARGE-MONEY","Charge de l'argent pour placer les arbres"
"FOREST-BRUSH-MODAL-WARNING","Attention"
"FOREST-BRUSH-MODAL-LIMITREACHED-TITLE","Limite d'arbre atteinte"
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ONE","Vous avez atteint la limite de 100 arbres pour ce pinceau. Supprimez quelques arbres pour en ajouter."
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ALL","Vous avez atteint la limite de 100 arbres pour ce pinceau. Certains arbres n'ont pas été ajoutés. S'il vous plaît supprimer des arbres pour en ajouter plus."
"FOREST-BRUSH-PROMPT-NEW","Nom du pinceau"
"FOREST-BRUSH-RENAME-BRUSH","Utilisez ce champ de texte pour renommer le pinceau actuel."
"FOREST-BRUSH-PROMPT-DELETE","Êtes-vous sûr de vouloir supprimer définitivement ce pinceau ?"
"FOREST-BRUSH-RENAME-ERROR","Un autre pinceau existe déjà avec ce nom."
"FOREST-BRUSH-PROMPT-YES","Oui"
"FOREST-BRUSH-PROMPT-NO","Non"
"FOREST-BRUSH-PROMPT-OK","OK"
"FOREST-BRUSH-PROMPT-CANCEL","Annuler"
"FOREST-BRUSH-KEYBIND-TOGGLE-TOOL","Basculer ver le panneau du pinceau de Forêt"
"FOREST-BRUSH-TOOLERROR-BRUSHEMPTY","Pas d'arbres dans le piceau"
"FOREST-BRUSH-TUTORIAL","Thanks for subscribing to Forest Brush Revisted.\r\n\r\nClick on the 'Trees' button to select the trees for your brush.\r\nUse the checkboxes to add/remove trees to the brush.\r\nCTRL + click on a checkbox to select/deselect all trees.\r\n\r\nYou can have as many different brushes as you like, just add more with the 'plus' button.\r\n\r\nUse the searchbox to find specific trees.\r\nClick on the 'Gear' button to edit your brush settings.\r\nHere you can change the size, strength and density of your brush.\r\nVisit the mod's workshop page for detailed instructions."
"NAME","Française"
"GROUP_LOCALISATION","Localisation"
"dropdownLocalization","Language"
"tabGeneral","General"
"tabSorting","Sorting / Searching"
"tabMaintenance","Maintenance"
"groupMainPanel","Main Panel"
"groupBehaviour","Behaviour"
"groupSorting","Sorting"
"groupSearching","Searching"
"groupMaintenance","Maintenance"
"buttonResetPanelPosition","Reset Panel Position"
