"CODE","ru"
"FOREST-BRUSH-MODDESCRIPTION","Позволяет создавать, изменять и сохранять кисти с несколькими деревьями."
"FOREST-BRUSH-MODNAME","Кисть Для Леса"
"FOREST-BRUSH-BRUSH","Кисть"
"FOREST-BRUSH-SELECT","Выбрать кисть"
"FOREST-BRUSH-CREATE","Создать новую кисть"
"FOREST-BRUSH-DELETE","Удалить текущую кисть"
"FOREST-BRUSH-SEARCH","Поиск"
"FOREST-BRUSH-PROBABILITY","Частота"
"FOREST-BRUSH-TOGGLE-EDIT","Переключить панель 'Деревья'"
"FOREST-BRUSH-TOGGLE-OPTIONS","Переключить панель 'Настройки кисти'"
"FOREST-BRUSH-TOGGLE-SELECTBRUSHSHAPE","Переключить панель 'Формы кисти'"
"FOREST-BRUSH-BRUSH-OPTIONS-STRENGTH","Сила"
"FOREST-BRUSH-BRUSH-OPTIONS-DENSITY","Плотность"
"FOREST-BRUSH-BRUSH-OPTIONS-SIZE","Размер"
"FOREST-BRUSH-BRUSH-OPTIONS-AUTODENSITY","Авто-плотность"
"FOREST-BRUSH-BRUSH-OPTIONS-RESET","Сбросить"
"FOREST-BRUSH-OPTIONS-RESET","Сбросить все настройки по умолчанию"
"FOREST-BRUSH-OPTIONS-SHOWMESHDATA","Показать данные о моделях и текстурах деревьев"
"FOREST-BRUSH-DATA-NAME","Название"
"FOREST-BRUSH-DATA-AUTHOR","Автор"
"FOREST-BRUSH-DATA-MESH","Модель"
"FOREST-BRUSH-DATA-MESHNOTREADABLE","Ошибка чтения"
"FOREST-BRUSH-DATA-TRIANGLES","Полигоны"
"FOREST-BRUSH-DATA-TEXTURE","Текстура"
"FOREST-BRUSH-DATA-PIXELS","пикс"
"FOREST-BRUSH-OPTIONS-SORTING","Сортировка деревьев по"
"FOREST-BRUSH-OPTIONS-SORTING-ORDER","Порядок сортировки"
"FOREST-BRUSH-OPTIONS-SORTING-ASCENDING","По возрастанию"
"FOREST-BRUSH-OPTIONS-SORTING-DESCENDING","По убыванию"
"FOREST-BRUSH-OPTIONS-FILTERING-LOGIC","Логика поиска"
"FOREST-BRUSH-OPTIONS-FILTERING-AND","И (Совпадение с обоими словами)"
"FOREST-BRUSH-OPTIONS-FILTERING-OR","ИЛИ (Совпадение с любым из слов)"
"FOREST-BRUSH-OPTIONS-FILTERING-SIMPLE","Простой (Быстрый поиск только по названиям)"
"FOREST-BRUSH-OPTIONS-NEWBRUSH","При создании новой кисти"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-CLEAR","Начать с пустой кисти"
"FOREST-BRUSH-OPTIONS-NEWBRUSH-KEEP","Оставить деревья с предыдущей кисти"
"FOREST-BRUSH-OPTIONS-IGNORE-VANILLA","Скрыть стандартные деревья"
"FOREST-BRUSH-OPTIONS-SINGLETREE-EFFECT","Воспроизвести эффект «звук и пыль» при размещении отдельных деревьев"
"FOREST-BRUSH-OPTIONS-CHARGE-MONEY","Плата за размещение деревьев"
"FOREST-BRUSH-MODAL-WARNING","Внимание"
"FOREST-BRUSH-MODAL-LIMITREACHED-TITLE","Достигнут предел деревьев"
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ONE","Вы достигли предела в 100 деревьев для этой кисти. Пожалуйста, удалите некоторые деревья, чтобы добавить ещё."
"FOREST-BRUSH-MODAL-LIMITREACHED-MESSAGE-ALL","Вы достигли предела в 100 деревьев для этой кисти. Некоторые деревья не были добавлены. Пожалуйста, удалите некоторые деревья, чтобы добавить ещё."
"FOREST-BRUSH-PROMPT-NEW","Название кисти"
"FOREST-BRUSH-RENAME-BRUSH","Используйте это текстовое поле, чтобы переименовать текущую кисть."
"FOREST-BRUSH-PROMPT-DELETE","Вы уверены, что хотите навсегда удалить эту кисть?"
"FOREST-BRUSH-RENAME-ERROR","Другая кисть с таким именем уже существует."
"FOREST-BRUSH-PROMPT-YES","Да"
"FOREST-BRUSH-PROMPT-NO","Нет"
"FOREST-BRUSH-PROMPT-OK","ОК"
"FOREST-BRUSH-PROMPT-CANCEL","Отмена"
"FOREST-BRUSH-KEYBIND-TOGGLE-TOOL","Переключить панель Кисть Для Леса"
"FOREST-BRUSH-TOOLERROR-BRUSHEMPTY","кисть пуста"
"FOREST-BRUSH-TUTORIAL","Thanks for subscribing to Forest Brush Revisted.\r\n\r\nClick on the 'Trees' button to select the trees for your brush.\r\nUse the checkboxes to add/remove trees to the brush.\r\nCTRL + click on a checkbox to select/deselect all trees.\r\n\r\nYou can have as many different brushes as you like, just add more with the 'plus' button.\r\n\r\nUse the searchbox to find specific trees.\r\nClick on the 'Gear' button to edit your brush settings.\r\nHere you can change the size, strength and density of your brush.\r\nVisit the mod's workshop page for detailed instructions."
"NAME","Русский"
"GROUP_LOCALISATION","Localisation"
"dropdownLocalization","Language"
"tabGeneral","General"
"tabSorting","Sorting / Searching"
"tabMaintenance","Maintenance"
"groupMainPanel","Main Panel"
"groupBehaviour","Behaviour"
"groupSorting","Sorting"
"groupSearching","Searching"
"groupMaintenance","Maintenance"
"buttonResetPanelPosition","Reset Panel Position"
